Time Step,Vehicle Speed,Total Distance,Total BSFC,BSFC
7.9,9.65,53.83,106.08,0.01
7.95,9.64,54.32,106.08,0.01
8.0,9.63,54.8,106.08,0.01
8.05,9.62,55.28,106.08,0.01
8.1,9.62,55.76,106.08,0.01
8.15,9.61,56.24,106.08,0.01
8.2,9.6,56.72,106.08,0.01
8.25,9.59,57.2,106.08,0.01
8.3,9.58,57.68,106.08,0.01
8.35,9.58,58.16,106.08,0.01
8.4,9.57,58.64,106.08,0.01
8.45,9.56,59.11,106.08,0.01
8.5,9.55,59.59,106.08,0.01
8.55,9.54,60.07,106.08,0.01
8.6,9.54,60.54,106.08,0.01
8.65,9.53,61.02,106.08,0.01
8.7,9.52,61.5,106.08,0.01
8.75,9.51,61.97,106.08,0.01
8.8,9.51,62.45,106.08,0.01
8.85,9.5,62.92,106.08,0.01
8.9,9.49,63.4,106.08,0.01
8.95,9.48,63.87,106.08,0.01
9.0,9.47,64.35,106.08,0.01
9.05,9.47,64.82,106.08,0.01
9.1,9.46,65.29,106.08,0.01
9.15,9.45,65.76,106.08,0.01
9.2,9.44,66.24,106.08,0.01
9.25,9.43,66.71,106.08,0.01
9.3,9.43,67.18,106.08,0.01
9.35,9.42,67.65,106.08,0.01
9.4,9.41,68.12,106.08,0.01
9.45,9.4,68.59,106.08,0.01
9.5,9.4,69.06,106.08,0.01
9.55,9.39,69.53,106.08,0.01
9.6,9.38,70.0,106.08,0.01
9.65,9.37,70.47,106.08,0.01
9.7,9.36,70.94,106.08,0.01
9.75,9.36,71.4,106.08,0.01
9.8,9.35,71.87,106.08,0.01
9.85,9.34,72.34,106.08,0.01
9.9,9.33,72.8,106.08,0.01
9.95,9.33,73.27,106.08,0.01
10.0,9.32,73.74,106.08,0.01
10.05,9.31,74.2,106.08,0.01
10.1,9.3,74.67,106.08,0.01
10.15,9.29,75.13,106.08,0.01
10.2,9.29,75.6,106.08,0.01
10.25,9.28,76.06,106.08,0.01
10.3,9.27,76.52,106.08,0.01
10.35,9.26,76.99,106.08,0.01
10.4,9.26,77.45,106.08,0.01
10.45,9.25,77.91,106.08,0.01
10.5,9.24,78.37,106.08,0.01
10.55,9.23,78.84,106.08,0.01
10.6,9.23,79.3,106.08,0.01
10.65,9.22,79.76,106.08,0.01
10.7,9.21,80.22,106.08,0.01
10.75,9.2,80.68,106.08,0.01
10.8,9.19,81.14,106.08,0.01
10.85,9.19,81.6,106.08,0.01
10.9,9.18,82.06,106.08,0.01
10.95,9.17,82.52,106.08,0.01
11.0,9.16,82.97,106.08,0.01
11.05,9.16,83.43,106.08,0.01
11.1,9.15,83.89,106.08,0.01
11.15,9.14,84.35,106.08,0.01
11.2,9.13,84.8,106.08,0.01
11.25,9.13,85.26,106.08,0.01
11.3,9.12,85.71,106.08,0.01
11.35,9.11,86.17,106.08,0.01
11.4,9.1,86.63,106.08,0.01
11.45,9.1,87.08,106.08,0.01
11.5,9.09,87.53,106.08,0.01
11.55,9.08,87.99,106.08,0.01
11.6,9.07,88.44,106.08,0.01
11.65,9.07,88.9,106.08,0.01
11.7,9.06,89.35,106.08,0.01
11.75,9.05,89.8,106.08,0.01
11.8,9.04,90.25,106.08,0.01
11.85,9.04,90.71,106.08,0.01
11.9,9.03,91.16,106.08,0.01
11.95,9.02,91.61,106.08,0.01
12.0,9.01,92.06,106.08,0.01
12.05,9.01,92.51,106.08,0.01
12.1,9.0,92.96,106.08,0.01
12.15,8.99,93.41,106.08,0.01
12.2,8.98,93.86,106.08,0.01
12.25,8.98,94.31,106.08,0.01
12.3,8.97,94.75,106.08,0.01
12.35,8.96,95.2,106.08,0.01
12.4,8.95,95.65,106.08,0.01
12.45,8.95,96.1,106.08,0.01
12.5,8.94,96.54,106.08,0.01
12.55,8.93,96.99,106.08,0.01
12.6,8.92,97.44,106.08,0.01
12.65,8.92,97.88,106.08,0.01
12.7,8.91,98.33,106.08,0.01
12.75,8.9,98.77,106.08,0.01
12.8,8.89,99.22,106.08,0.01
12.85,8.89,99.66,106.08,0.01
12.9,8.88,100.11,106.08,0.01
12.95,8.87,100.55,106.08,0.01
13.0,8.86,100.99,106.08,0.01
13.05,8.86,101.44,106.08,0.01
13.1,8.85,101.88,106.08,0.01
13.15,8.84,102.32,106.08,0.01
13.2,8.83,102.76,106.08,0.01
13.25,8.83,103.2,106.08,0.01
13.3,8.82,103.64,106.08,0.01
13.35,8.81,104.09,106.08,0.01
13.4,8.81,104.53,106.08,0.01
13.45,8.8,104.97,106.08,0.01
13.5,8.79,105.41,106.08,0.01
13.55,8.78,105.84,106.08,0.01
13.6,8.78,106.28,106.08,0.01
13.65,8.77,106.72,106.08,0.01
13.7,8.76,107.16,106.08,0.01
13.75,8.75,107.6,106.08,0.01
13.8,8.75,108.03,106.08,0.01
13.85,8.74,108.47,106.08,0.01
13.9,8.73,108.91,106.08,0.01
13.95,8.72,109.34,106.08,0.01
14.0,8.72,109.78,106.08,0.01
14.05,8.71,110.22,106.08,0.01
14.1,8.7,110.65,106.08,0.01
14.15,8.7,111.09,106.08,0.01
14.2,8.69,111.52,106.08,0.01
14.25,8.68,111.95,106.08,0.01
14.3,8.67,112.39,106.08,0.01
14.35,8.67,112.82,106.08,0.01
14.4,8.66,113.25,106.08,0.01
14.45,8.65,113.69,106.08,0.01
14.5,8.65,114.12,106.08,0.01
14.55,8.64,114.55,106.08,0.01
14.6,8.63,114.98,106.08,0.01
14.65,8.62,115.41,106.08,0.01
14.7,8.62,115.84,106.08,0.01
14.75,8.61,116.27,106.08,0.01
14.8,8.6,116.71,106.08,0.01
14.85,8.59,117.13,106.08,0.01
14.9,8.59,117.56,106.08,0.01
14.95,8.58,117.99,106.08,0.01
15.0,8.57,118.42,106.08,0.01
15.05,8.57,118.85,106.08,0.01
15.1,8.56,119.28,106.08,0.01
15.15,8.55,119.71,106.08,0.01
15.2,8.54,120.13,106.08,0.01
15.25,8.54,120.56,106.08,0.01
15.3,8.53,120.99,106.08,0.01
15.35,8.52,121.41,106.08,0.01
15.4,8.52,121.84,106.08,0.01
15.45,8.51,122.26,106.08,0.01
15.5,8.5,122.69,106.08,0.01
15.55,8.49,123.11,106.08,0.01
15.6,8.49,123.54,106.08,0.01
15.65,8.48,123.96,106.08,0.01
15.7,8.47,124.39,106.08,0.01
15.75,8.47,124.81,106.08,0.01
