Time Step,Kart Accel,Vehicle Speed,Total Distance,Clutch Slip,BSFC,RPM,Torque
4.95,1.92,9.82,24.69,0.0,1.03,3391.81,6.9
5.0,1.91,9.92,25.19,0.0,1.05,3424.83,6.9
5.05,1.9,10.01,25.69,0.0,1.06,3457.71,6.9
5.1,1.9,10.11,26.19,0.0,1.08,3490.44,6.9
5.15,1.89,10.2,26.7,0.0,1.09,3523.02,6.9
5.2,1.88,10.29,27.22,0.0,1.11,3555.49,6.9
5.25,1.87,10.39,27.74,0.0,1.13,3587.84,6.9
5.3,1.87,10.48,28.26,0.0,1.15,3620.09,6.9
5.35,-0.17,10.47,28.79,0.0,1.15,3617.09,6.9
5.4,-0.17,10.46,29.31,0.0,1.15,3614.08,6.9
5.45,-0.17,10.46,29.83,0.0,1.15,3611.09,6.9
5.5,-0.17,10.45,30.35,0.0,1.15,3608.09,6.9
5.55,-0.17,10.44,30.88,0.0,1.15,3605.1,6.9
5.6,-0.17,10.43,31.4,0.0,1.15,3602.11,6.9
5.65,-0.17,10.42,31.92,0.0,1.15,3599.12,6.9
5.7,1.86,10.51,32.44,0.0,1.16,3631.32,6.9
5.75,-0.17,10.51,32.97,0.0,1.16,3628.31,6.9
5.8,-0.17,10.5,33.49,0.0,1.16,3625.3,6.9
5.85,-0.17,10.49,34.02,0.0,1.16,3622.29,6.9
5.9,-0.17,10.48,34.54,0.0,1.16,3619.28,6.9
5.95,-0.17,10.47,35.07,0.0,1.16,3616.28,6.9
6.0,-0.17,10.46,35.59,0.0,1.16,3613.28,6.9
6.05,-0.17,10.45,36.11,0.0,1.16,3610.28,6.9
6.1,-0.17,10.44,36.63,0.0,1.16,3607.29,6.9
6.15,-0.17,10.44,37.16,0.0,1.16,3604.29,6.9
6.2,-0.17,10.43,37.68,0.0,1.16,3601.3,6.9
6.25,-0.17,10.42,38.2,0.0,1.16,3598.31,6.9
6.3,1.87,10.51,38.72,0.0,1.18,3630.52,6.9
6.35,-0.17,10.5,39.25,0.0,1.18,3627.51,6.9
6.4,-0.17,10.49,39.77,0.0,1.18,3624.5,6.9
6.45,-0.17,10.49,40.3,0.0,1.18,3621.49,6.9
6.5,-0.17,10.48,40.82,0.0,1.18,3618.49,6.9
6.55,-0.17,10.47,41.35,0.0,1.18,3615.48,6.9
6.6,-0.17,10.46,41.87,0.0,1.18,3612.48,6.9
6.65,-0.17,10.45,42.39,0.0,1.18,3609.49,6.9
6.7,-0.17,10.44,42.91,0.0,1.18,3606.49,6.9
6.75,-0.17,10.43,43.43,0.0,1.18,3603.5,6.9
6.8,-0.17,10.42,43.96,0.0,1.18,3600.51,6.9
6.85,-0.17,10.42,44.48,0.0,1.2,3597.52,6.9
6.9,1.87,10.51,45.0,0.0,1.22,3629.73,6.9
6.95,-0.17,10.5,45.53,0.0,1.22,3626.72,6.9
7.0,-0.17,10.49,46.05,0.0,1.22,3623.71,6.9
7.05,-0.17,10.48,46.58,0.0,1.22,3620.7,6.9
7.1,-0.17,10.47,47.1,0.0,1.22,3617.7,6.9
7.15,-0.17,10.47,47.62,0.0,1.22,3614.7,6.9
